Signal,Ticker,NetGainPct,VolFactor,Last,Open,High,Low,HHCount,MaxVolOp,OI,OptionVolume,VolOIRatio,OptionLast,PremiumEstimate,DaysToExpiry,Score,Grade,TradeReady,AddedAt,UpdatedAt
LL,SEDG,-4.337172261700571,1.7717542839969231,39.04,40.81,42.18,38.26,99,.SEDG260731P39,457,776,1.698030634573304,1.4,108639.99999999999,2,75.8,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
HH,CMG,1.7533432392273502,1.7492172975960465,34.24,33.65,34.51,33.61,106,.CMG260731C36,2666,2257,0.8465866466616654,0.66,148962.0,2,51.6,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,PCG,-1.061452513966468,1.7486254002007362,17.71,17.9,17.93,17.63,91,.PCG260904P16.5,50,1650,33.0,0.38,62700.0,37,53.4,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,HOOD,-2.570220149658378,1.6727030325850971,89.84,92.21,93.32,88.6,40,.HOOD260731P90,3817,11309,2.962798008907519,4.5,5089050.0,2,71.7,B,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
HH,TGT,1.382808699881877,1.6689919411006995,145.9,143.91,147.77,142.17,113,.TGT260731C150,721,37650,52.21914008321775,0.3,1129500.0,2,62.2,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,DELL,-4.854568854568858,1.606486848930329,369.64,388.5,394.96,364.17,107,.DELL260731P350,1400,1725,1.2321428571428572,5.2,897000.0,2,77.2,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,MSTR,-3.164556962025314,1.5605692098235349,93.33,96.38,100.05,93.27,53,.MSTR260731P95,4993,6331,1.2679751652313238,4.07,2576717.0,2,70.2,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,RKLB,-7.731065973862379,1.5364936021397497,58.6,63.51,64.1,58.2,89,.RKLB260731P60,2300,4195,1.8239130434782609,2.9,1216550.0,2,87.3,A+,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,UNH,-1.7956381637323116,1.4489430388689466,420.57,428.26,431.68,420.35,44,.UNH260731P415,446,990,2.219730941704036,1.87,185130.00000000003,2,56.0,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,PLTR,-0.8064516129032258,1.4204582943189996,123.0,124.0,127.28,122.45,57,.PLTR260731P120,4961,9231,1.860713565813344,1.18,1089258.0,2,54.9,C,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,QUBT,-3.947368421052629,1.3267812922875337,7.3,7.6,7.81,7.3,49,.QUBT260814P6,3402,2711,0.7968841857730746,0.12,32532.0,16,66.8,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
HH,ASAN,4.417177914110422,1.3078451137917226,8.51,8.15,8.63,8.12,68,.ASAN260821C10,3782,580,0.15335801163405605,0.25,14500.0,23,61.4,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,TSLA,-2.871654620042975,1.2384661017374523,298.32,307.14,309.06,297.38,29,.TSLA260731P300,7804,34260,4.390056381342901,5.95,20384700.0,2,71.2,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,ORCL,-1.4067995310668286,1.1955124535975226,117.74,119.42,121.92,116.2,21,.ORCL260731P110,10489,12197,1.1628372580798931,0.58,707425.9999999999,2,52.9,C,NO,2026-07-30T03:52:56+00:00,2026-07-30T03:52:56+00:00
HH,NFLX,1.9947361130350432,1.161196393360129,73.63,72.19,73.74,71.75,21,.NFLX260731C75,25025,14013,0.55996003996004,0.4,560520.0000000001,2,52.9,C,NO,2026-07-30T03:52:56+00:00,2026-07-30T03:52:56+00:00
LL,SPCX,-1.6171328671328744,1.1611190908126352,112.55,114.4,117.59,110.35,46,.SPCX260731P100,23879,25497,1.0677582813350643,0.35,892394.9999999999,2,53.7,C,NO,2026-07-30T00:51:28+00:00,2026-07-30T03:52:56+00:00
LL,ASTS,-7.548814504881447,1.119752946088671,53.03,57.36,59.37,52.8,21,.ASTS260731P50,2253,1737,0.7709720372836218,0.73,126801.0,2,71.7,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
LL,SMCI,-8.279800142755175,1.0359263127527039,25.7,28.02,28.07,25.68,21,.SMCI260731P26.5,3329,2519,0.756683688795434,1.24,312356.0,2,72.6,B,NO,2026-07-30T03:29:31+00:00,2026-07-30T03:52:56+00:00
